MVIOLATN Code,MVIOLATN Description
83,EQUIPMENT Failure to Require Restraint Use (By Self or Passenger)
84,EQUIPMENT Motorcycle Equipment Violations (Helmet / Special Equipment)
85,EQUIPMENT Violation of Hazardous Cargo Regulations
86,EQUIPMENT Size / Weight / Load Violations
89,EQUIPMENT Equipment Violations Generally
91,LICENSE / REGISTRATION & OTHER VIOLATIONS Parking
92,LICENSE / REGISTRATION & OTHER VIOLATIONS Theft / Unauthorized Use of Motor Vehicle
93,LICENSE / REGISTRATION & OTHER VIOLATIONS Driving Where Prohibited (Sidewalk / Limited Access / Off Truck Route)
95,LICENSE / REGISTRATION & OTHER VIOLATIONS No Driver Present / Unknown if Driver Present
97,LICENSE / REGISTRATION & OTHER VIOLATIONS Not Reported
98,LICENSE / REGISTRATION & OTHER VIOLATIONS Other Moving Violation
99,LICENSE / REGISTRATION & OTHER VIOLATIONS Unknown Violation(s)
